ID,Size,Predicted,Actual
0,12,0.000187,NO
1,1,0.000004,NO
2,1,0.000004,NO
3,1,0.000004,NO
4,1,0.000004,NO
5,1,0.000004,NO
6,1,0.000004,NO
7,15,0.020604,NO
8,1,0.000004,NO
9,1,0.000004,NO
10,1,0.000004,NO
11,1,0.000004,NO
12,1,0.000004,NO
13,1,0.000004,NO
14,1,0.000004,NO
15,1,0.000004,NO
16,1,0.000004,NO
17,1,0.000004,NO
18,6,0.000007,NO
19,34,1.000000,NO
20,14,0.001544,NO
21,1,0.000004,NO
22,26,0.996886,NO
23,1,0.000004,NO
24,1,0.000004,NO
25,1,0.000004,NO
26,1,0.000004,NO
27,1,0.000004,NO
28,1,0.000004,NO
29,1,0.000004,NO
30,1,0.000004,NO
31,1,0.000004,NO
32,1,0.000004,NO
33,1,0.000004,NO
34,1,0.000004,NO
35,1,0.000004,NO
36,1,0.000004,NO
37,1,0.000004,NO
38,1,0.000004,NO
39,19,1.000000,NO
40,1,0.000004,NO
41,1,1.000000,NO
42,1,0.000004,NO
43,1,0.000004,NO
44,1,0.000004,NO
45,1,0.000004,NO
46,1,0.000004,NO
47,1,0.000004,NO
48,1,0.000004,NO
49,1,0.000004,NO
50,1,0.000004,NO
51,1,0.000004,NO
52,1,0.000004,NO
53,1,0.000004,NO
54,1,0.000004,NO
55,1,0.000004,NO
56,1,0.000004,NO
57,1,0.000004,NO
58,1,0.000004,NO
59,1,0.000004,NO
60,1,0.000004,NO
61,1,0.000004,NO
62,1,0.000004,NO
63,1,0.000004,NO
64,1,0.000004,NO
65,1,0.000004,NO
66,19,1.000000,NO
67,1,0.000986,NO
68,1,0.000004,NO
69,1,0.000004,NO
70,1,0.000004,NO
71,1,0.000004,NO
72,1,0.000004,NO
73,1,0.000004,NO
74,1,0.000004,NO
75,1,0.000004,NO
76,1,0.000004,NO
77,1,0.000004,NO
78,1,0.000004,NO
79,6,1.000000,NO
80,1,0.000004,NO
81,0,0.000004,NO
82,0,0.000004,NO
83,0,0.000004,NO
84,0,0.000004,NO
85,0,0.000004,NO
86,0,0.000004,NO
87,0,0.000004,NO
88,0,0.000004,NO
89,0,0.000004,NO
90,0,0.000004,NO
91,0,0.000004,NO
92,0,0.000004,NO
93,0,0.000004,NO
94,0,0.000004,NO
95,0,0.000004,NO
96,0,0.000004,NO
97,0,0.000004,NO
98,0,0.000004,NO
99,0,0.000004,NO
100,0,0.000004,NO
101,0,0.000004,NO
102,0,0.000004,NO
103,0,0.000004,NO
104,0,0.000004,NO
105,0,0.000004,NO
106,0,0.000004,NO
107,0,0.000004,NO
108,0,0.000004,NO
109,0,0.000004,NO
110,0,0.000004,NO
111,0,0.000004,NO
112,0,0.000004,NO
113,0,0.000004,NO
114,0,0.000004,NO
115,0,0.000004,NO
116,0,0.000004,NO
117,0,0.000004,NO
118,0,0.000004,NO
119,0,0.000004,NO
120,0,0.000004,NO
121,0,0.000004,NO
122,0,0.000004,NO
123,0,0.000004,NO
124,0,0.000004,NO
125,0,0.000004,NO
126,0,0.000004,NO
127,0,0.000004,NO
128,0,0.000004,NO
129,0,0.000004,NO
130,0,0.000004,NO
131,0,0.000004,NO
